------------------------------------------------------------------------------------
支付宝账单明细查询
------------------------------------------------------------------------------------
查询明细条件：[起止时间：2025-07-01 00:00:00 到 2025-07-31 23:59:59]
------------------------------------------------------------------------------------
交易号,商家订单号,交易创建时间,付款时间,最近修改时间,交易来源地,类型,交易对方,商品名称,金额（元）,收/支,交易状态,交易分类,备注,资金状态
2025070112345601,ORD001,2025-07-01 10:30:00,2025-07-01 10:30:00,2025-07-01 10:30:00,支付宝,即时到账交易,美团外卖,午餐,35.50,支出,交易成功,餐饮美食,午餐,已支出
2025070312345602,ORD002,2025-07-03 09:00:00,2025-07-03 09:00:00,2025-07-03 09:00:00,支付宝,即时到账交易,iCloud 由云上贵州运营,iCloud储存空间,6.00,支出,交易成功,数码电器,月度订阅,已支出
2025070512345603,ORD003,2025-07-05 14:20:00,2025-07-05 14:20:00,2025-07-05 14:20:00,支付宝,即时到账交易,京东,办公用品,128.00,支出,交易成功,日用百货,办公耗材,已支出
2025070812345604,ORD004,2025-07-08 16:45:00,2025-07-08 16:45:00,2025-07-08 16:45:00,支付宝,即时到账交易,某客户A,货款,5000.00,收入,交易成功,转账收款,7月货款,已收入
2025071012345605,ORD005,2025-07-10 11:00:00,2025-07-10 11:00:00,2025-07-10 11:00:00,支付宝,即时到账交易,余额宝,余额宝转入,1000.00,不计收支,交易成功,理财,转入理财,不计收支
2025071212345606,ORD006,2025-07-12 08:30:00,2025-07-12 08:30:00,2025-07-12 08:30:00,支付宝,即时到账交易,滴滴出行,打车,22.50,支出,交易成功,交通出行,打车上班,已支出
2025071512345607,ORD007,2025-07-15 19:00:00,2025-07-15 19:00:00,2025-07-15 19:00:00,支付宝,即时到账交易,某供应商B,原材料采购,2300.00,支出,交易成功,百货,采购原材料,已支出
2025072012345608,ORD008,2025-07-20 13:00:00,2025-07-20 13:00:00,2025-07-20 13:00:00,支付宝,即时到账交易,招商银行信用卡,信用卡还款,2000.00,支出,交易成功,转账,信用卡还款,已支出
------------------------------------------------------------------------------------
账单说明：本期账单共8条记录
